Deck Name,Year,Count,Meta Share,Cost,Colors,Yorion
Melira Pod,2014,40,10.15,1072.29,wbg,n
The Rock,2014,33,8.38,2068.59,wbg,n
Affinity,2014,31,7.87,596.7,wubrg,n
Splinter Twin,2014,26,6.6,1219.45,ur,n
Mono Red Burn,2014,24,6.09,123.08,r,n
Scapeshift,2014,23,5.84,856.18,urg,n
UR Delver,2014,18,4.57,650.15,ur,n
RG Tron,2014,15,3.81,644.08,rg,n
UWR Control,2014,14,3.55,1002.36,wur,n
Gifts Tron,2014,10,2.54,391.74,wubg,n
Kiki Pod,2014,8,2.03,1279.89,wurg,n
Burn,2014,7,1.78,614.07,brg,n
Amulet of Vigor,2014,7,1.78,348.52,ubrg,n
Jund,2014,7,1.78,1898.09,brg,n
GW Hatebears,2014,6,1.52,846.31,wg,n
UR Storn,2014,6,1.52,567.48,ur,n
Merrfolk,2014,6,1.52,352.44,u,n
Infect,2014,5,1.27,87.45,g,n
WUR,2014,5,1.27,1116.24,wur,n
Living End,2014,5,1.27,576.37,wubrg,n
Faeries,2014,5,1.27,970.18,ub,n
Merfolk,2014,4,1.02,467.19,wu,n
Blue Moon,2014,4,1.02,1237.22,ur,n
Ad Nauseam,2014,4,1.02,376.63,wubr,n
WUR,2014,3,0.76,1162.27,wur,n
Burn,2014,3,0.76,715.64,wbr,n
URG,2014,3,0.76,1682.43,urg,n
Tempered Affinity,2014,2,0.51,603.04,wubr,n
UG Infect,2014,2,0.51,819.59,ug,n
Death n' Taxes,2014,2,0.51,290.2,w,n
Boros Burn,2014,2,0.51,211.37,wr,n
UWR Twin,2014,2,0.51,927.8,wur,n
Burn,2014,2,0.51,62.19,r,n
WB,2014,2,0.51,768.02,wb,n
UBR,2014,2,0.51,1051.4,ubr,n
Mono U Tron,2014,2,0.51,207.22,u,n
Bogles,2014,2,0.51,839.67,wg,n
WRG,2014,2,0.51,1557.16,wrg,n
Burn,2014,1,0.25,588.56,wr,n
Elves,2014,1,0.25,136.32,ug,n
UW Control,2014,1,0.25,749.5,wu,n
Tokens,2014,1,0.25,446.76,wb,n
Mono Blue Control,2014,1,0.25,743.31,u,n
Devotion Wave,2014,1,0.25,577.24,rg,n
Gx Devotion,2014,1,0.25,774.81,wg,n
RB Burn,2014,1,0.25,189.46,br,n
American Delver,2014,1,0.25,918.38,wubrg,n
Gr Devotion Wave,2014,1,0.25,172.25,rg,n
Blue Moon,2014,1,0.25,905.71,ur,n
Polymorph Control,2014,1,0.25,991.87,ub,n
Esper Gifts,2014,1,0.25,1142.31,wubg,n
Omenshift,2014,1,0.25,763.56,urg,n
Zoo,2014,1,0.25,1972.46,wurg,n
WBR,2014,1,0.25,455.13,wbr,n
UR,2014,1,0.25,845.86,ur,n
WUG,2014,1,0.25,2116.25,wug,n
GW HAtebears,2014,1,0.25,732.56,wg,n
RG,2014,1,0.25,377.71,rg,n
BW Tokens,2014,1,0.25,543.71,wb,n
Stompy,2014,1,0.25,112.81,g,n
UG,2014,1,0.25,752.26,ug,n
WUR,2014,1,0.25,737.04,wur,n
Tokens,2014,1,0.25,359.48,wb,n
Boros Burn,2014,1,0.25,228.89,wr,n
8 Rack,2014,1,0.25,889.48,b,n
R,2014,1,0.25,124.47,r,n
WBG,2014,1,0.25,1776.89,wbg,n
W,2014,1,0.25,147.7,w,n
UBG,2014,1,0.25,2136.21,ubg,n
